index	original	parse
0	In zijn roman De eerste Adam schreef Boeli van Leeuwen : " In de tropen schuilt de geest als de zon hoog staat " .	(ROOT (DU (SMAIN (PP (vz 0) (NP (vnw 1) (n 2) (MWU (lid 3) (tw 4) (n 5)))) (ww 6) (MWU (spec 7) (vz 8) (spec 9))) (let 10) (let 11) (SMAIN (PP (vz 12) (NP (lid 13) (n 14))) (ww 15) (NP (lid 16) (n 17)) (CP (vg 18) (SSUB (NP (lid 19) (n 20)) (adj 21) (ww 22)))) (let 23)) (let 24))
1	Ik kan me daar wel iets bij voorstellen .	(ROOT (SMAIN (vnw 0) (ww 1) (INF (vnw 2) (PP (vnw 3) (vz 6)) (bw 4) (vnw 5) (ww 7))) (let 8))
2	Daarom ben ik blij dat ik hier aan het begin van de avond voor u sta .	(ROOT (SMAIN (bw 0) (ww 1) (vnw 2) (AP (adj 3) (CP (vg 4) (SSUB (vnw 5) (vnw 6) (PP (vz 7) (NP (lid 8) (n 9) (PP (vz 10) (NP (lid 11) (n 12))))) (PP (vz 13) (vnw 14)) (ww 15))))) (let 16))
3	De geesten staan op scherp .	(ROOT (SMAIN (NP (lid 0) (n 1)) (ww 2) (MWU (vz 3) (adj 4))) (let 5))
4	En dat komt goed uit , want ik wil het vanavond met u hebben over dynamiek .	(ROOT (DU (vg 0) (CONJ (SMAIN (vnw 1) (ww 2) (adj 3) (vz 4)) (let 5) (vg 6) (SMAIN (vnw 7) (ww 8) (INF (vnw 9) (bw 10) (PP (vz 11) (vnw 12)) (ww 13) (PP (vz 14) (n 15)))))) (let 16))
5	Dynamiek in het Koninkrijk , in de samenleving en in de economie .	(ROOT (NP (n 0) (CONJ (PP (vz 1) (NP (lid 2) (n 3))) (let 4) (PP (vz 5) (NP (lid 6) (n 7))) (vg 8) (PP (vz 9) (NP (lid 10) (n 11))))) (let 12))
6	Dynamiek is een essentieel element voor een samenleving .	(ROOT (SMAIN (n 0) (ww 1) (NP (lid 2) (adj 3) (n 4) (PP (vz 5) (NP (lid 6) (n 7))))) (let 8))
7	Het zorgt voor ontwikkeling .	(ROOT (SMAIN (vnw 0) (ww 1) (PP (vz 2) (n 3))) (let 4))
8	Het stelt een samenleving in staat in te spelen op veranderingen .	(ROOT (SMAIN (vnw 0) (ww 1) (NP (lid 2) (n 3)) (AP (MWU (vz 4) (n 5)) (TI (INF (vz 6) (ww 8) (PP (vz 9) (n 10))) (vz 7)))) (let 11))
9	Dynamiek gaat hand in hand met vooruitgang en creativiteit .	(ROOT (SMAIN (n 0) (ww 1) (MWU (n 2) (vz 3) (n 4)) (PP (vz 5) (CONJ (n 6) (vg 7) (n 8)))) (let 9))
10	Dynamiek vergroot de mogelijkheden van en voor alle mensen .	(ROOT (SMAIN (n 0) (ww 1) (NP (lid 2) (n 3) (CONJ (PP (vz 4) (NP (vnw 7) (n 8))) (vg 5) (PP (vz 6))))) (let 9))
11	Dat is toch de ambitie : een betere toekomst voor iedereen in het Koninkrijk .	(ROOT (DU (SMAIN (vnw 0) (ww 1) (bw 2) (NP (lid 3) (n 4))) (let 5) (NP (lid 6) (adj 7) (n 8) (PP (vz 9) (NP (vnw 10) (PP (vz 11) (NP (lid 12) (n 13))))))) (let 14))
